title,description,salary,location
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
Data Analyst,Nan,"$135,000.00
            -
            $140,000.00",Canada
Data Analyst,"Using its own equity, LPC continues to build on its strengths and reinvest its capital into new ventures.The RoleYou Will Be Responsible ForCommunicating and supporting the use of the data architecture to all stakeholders.Development of data architecture, strategy and governance.Providing secure, stable, scalable and cost-effective solutions to facilitate storage, integration, usage, access, and delivery of data assets across the business.Defining, developing and maintaining reports to support decision making.Processing & Interpreting data to get actionable insights.Working closely with business users to understand their data analysis needs/requirements.Ideal ProfileYou possess a degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 1 year experience, ideally within a Data Analyst or Data Architect role.Ability to conceive the data picture from an organisational perspective, and bridge gap between current state and future goals.Exposure/expertise in one or more of emerging tools like columnar and NoSQL databases, predictive analytics, data visualization, and unstructured data.Strong expertise in data modelling & database design.You have good presentation and communication skills and the ability to present you findings clearly and accessibly in the form of reports and presentations to senior colleagues.You are a strong networker & relationship builderYou are a strong team player who can manage multiple stakeholdersYou are a strong mentor and coach who can build high performing teamsWhat's on Offer?Work alongside & learn from best in class talentOpportunity to make a positive impactGreat work environment","$135,000.00
            -
            $140,000.00",Canada
